Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
200	:	1706635681.127	     0.125	0	23	0	0	magma -b seq:=9923 rk2search_omit.m
202	:	1706635681.263	     0.118	0	22	0	0	magma -b seq:=5755 rk2search_omit.m
201	:	1706635681.175	     0.223	0	23	0	0	magma -b seq:=3433 rk2search_omit.m
204	:	1706635681.417	     0.205	0	23	0	0	magma -b seq:=6573 rk2search_omit.m
205	:	1706635681.647	     0.133	0	23	0	0	magma -b seq:=7248 rk2search_omit.m
160	:	1706635679.103	     2.820	0	19	0	0	magma -b seq:=5184 rk2search_omit.m
206	:	1706635681.803	     0.184	0	22	0	0	magma -b seq:=7547 rk2search_omit.m
207	:	1706635681.934	     0.152	0	21	0	0	magma -b seq:=9816 rk2search_omit.m
208	:	1706635682.002	     0.117	0	23	0	0	magma -b seq:=7194 rk2search_omit.m
209	:	1706635682.111	     0.073	0	25	0	0	magma -b seq:=2645 rk2search_omit.m
210	:	1706635682.157	     0.095	0	23	0	0	magma -b seq:=9831 rk2search_omit.m
211	:	1706635682.191	     0.091	0	23	0	0	magma -b seq:=10052 rk2search_omit.m
212	:	1706635682.260	     0.098	0	23	0	0	magma -b seq:=8159 rk2search_omit.m
213	:	1706635682.290	     0.110	0	24	0	0	magma -b seq:=2299 rk2search_omit.m
180	:	1706635679.872	     2.572	0	20	0	0	magma -b seq:=3222 rk2search_omit.m
62	:	1706635675.727	     6.727	0	19	0	0	magma -b seq:=3518 rk2search_omit.m
214	:	1706635682.372	     0.104	0	22	0	0	magma -b seq:=4802 rk2search_omit.m
215	:	1706635682.406	     0.078	0	23	0	0	magma -b seq:=613 rk2search_omit.m
216	:	1706635682.454	     0.092	0	21	0	0	magma -b seq:=7413 rk2search_omit.m
217	:	1706635682.471	     0.077	0	22	0	0	magma -b seq:=8471 rk2search_omit.m
219	:	1706635682.518	     0.051	0	24	0	0	magma -b seq:=9145 rk2search_omit.m
218	:	1706635682.485	     0.098	0	24	0	0	magma -b seq:=3723 rk2search_omit.m
220	:	1706635682.569	     0.062	0	22	0	0	magma -b seq:=10430 rk2search_omit.m
221	:	1706635682.582	     0.092	0	22	0	0	magma -b seq:=9501 rk2search_omit.m
222	:	1706635682.595	     0.089	0	24	0	0	magma -b seq:=4788 rk2search_omit.m
223	:	1706635682.621	     0.077	0	23	0	0	magma -b seq:=494 rk2search_omit.m
226	:	1706635682.694	     0.068	0	23	0	0	magma -b seq:=6116 rk2search_omit.m
224	:	1706635682.647	     0.115	0	24	0	0	magma -b seq:=3629 rk2search_omit.m
225	:	1706635682.683	     0.112	0	23	0	0	magma -b seq:=10463 rk2search_omit.m
227	:	1706635682.729	     0.067	0	25	0	0	magma -b seq:=1910 rk2search_omit.m
228	:	1706635682.789	     0.093	0	24	0	0	magma -b seq:=10296 rk2search_omit.m
231	:	1706635682.821	     0.087	0	25	0	0	magma -b seq:=1909 rk2search_omit.m
229	:	1706635682.796	     0.134	0	24	0	0	magma -b seq:=10472 rk2search_omit.m
230	:	1706635682.815	     0.141	0	23	0	0	magma -b seq:=3277 rk2search_omit.m
233	:	1706635682.918	     0.078	0	23	0	0	magma -b seq:=2130 rk2search_omit.m
232	:	1706635682.909	     0.088	0	26	0	0	magma -b seq:=713 rk2search_omit.m
234	:	1706635682.956	     0.115	0	23	0	0	magma -b seq:=9780 rk2search_omit.m
235	:	1706635682.965	     0.126	0	22	0	0	magma -b seq:=7693 rk2search_omit.m
236	:	1706635683.037	     0.088	0	24	0	0	magma -b seq:=166 rk2search_omit.m
237	:	1706635683.070	     0.101	0	25	0	0	magma -b seq:=1546 rk2search_omit.m
239	:	1706635683.110	     0.071	0	23	0	0	magma -b seq:=6374 rk2search_omit.m
238	:	1706635683.090	     0.104	0	23	0	0	magma -b seq:=6261 rk2search_omit.m
241	:	1706635683.179	     0.068	0	22	0	0	magma -b seq:=5911 rk2search_omit.m
138	:	1706635678.377	     4.903	0	17	0	0	magma -b seq:=7076 rk2search_omit.m
242	:	1706635683.193	     0.100	0	21	0	0	magma -b seq:=10449 rk2search_omit.m
243	:	1706635683.205	     0.090	0	23	0	0	magma -b seq:=3624 rk2search_omit.m
244	:	1706635683.257	     0.092	0	23	0	0	magma -b seq:=8766 rk2search_omit.m
246	:	1706635683.302	     0.060	0	22	0	0	magma -b seq:=3927 rk2search_omit.m
245	:	1706635683.294	     0.077	0	24	0	0	magma -b seq:=7786 rk2search_omit.m
248	:	1706635683.362	     0.052	0	25	0	0	magma -b seq:=1595 rk2search_omit.m
249	:	1706635683.371	     0.108	0	24	0	0	magma -b seq:=3922 rk2search_omit.m
250	:	1706635683.396	     0.125	0	23	0	0	magma -b seq:=7466 rk2search_omit.m
251	:	1706635683.422	     0.124	0	24	0	0	magma -b seq:=4146 rk2search_omit.m
252	:	1706635683.499	     0.109	0	24	0	0	magma -b seq:=2981 rk2search_omit.m
253	:	1706635683.537	     0.097	0	22	0	0	magma -b seq:=246 rk2search_omit.m
254	:	1706635683.554	     0.132	0	23	0	0	magma -b seq:=10456 rk2search_omit.m
196	:	1706635680.721	     3.005	0	19	0	0	magma -b seq:=5768 rk2search_omit.m
256	:	1706635683.650	     0.105	0	24	0	0	magma -b seq:=3539 rk2search_omit.m
257	:	1706635683.697	     0.137	0	22	0	0	magma -b seq:=5947 rk2search_omit.m
195	:	1706635680.687	     3.170	0	20	0	0	magma -b seq:=5746 rk2search_omit.m
258	:	1706635683.755	     0.102	0	21	0	0	magma -b seq:=7942 rk2search_omit.m
260	:	1706635683.857	     0.112	0	24	0	0	magma -b seq:=7488 rk2search_omit.m
261	:	1706635683.878	     0.116	0	23	0	0	magma -b seq:=6789 rk2search_omit.m
203	:	1706635681.398	     2.687	0	18	0	0	magma -b seq:=6617 rk2search_omit.m
264	:	1706635684.014	     0.134	0	25	0	0	magma -b seq:=2825 rk2search_omit.m
263	:	1706635683.989	     0.194	0	22	0	0	magma -b seq:=6999 rk2search_omit.m
265	:	1706635684.097	     0.116	0	24	0	0	magma -b seq:=10853 rk2search_omit.m
266	:	1706635684.158	     0.082	0	23	0	0	magma -b seq:=1606 rk2search_omit.m
267	:	1706635684.206	     0.113	0	23	0	0	magma -b seq:=9938 rk2search_omit.m
269	:	1706635684.257	     0.147	0	22	0	0	magma -b seq:=7716 rk2search_omit.m
268	:	1706635684.231	     0.203	0	21	0	0	magma -b seq:=7353 rk2search_omit.m
270	:	1706635684.347	     0.164	0	24	0	0	magma -b seq:=44 rk2search_omit.m
271	:	1706635684.417	     0.198	0	24	0	0	magma -b seq:=656 rk2search_omit.m
272	:	1706635684.450	     0.207	0	23	0	0	magma -b seq:=10146 rk2search_omit.m
273	:	1706635684.531	     0.180	0	23	0	0	magma -b seq:=8526 rk2search_omit.m
275	:	1706635684.687	     0.128	0	22	0	0	magma -b seq:=9550 rk2search_omit.m
274	:	1706635684.635	     0.246	0	24	0	0	magma -b seq:=9364 rk2search_omit.m
276	:	1706635684.724	     0.212	0	25	0	0	magma -b seq:=620 rk2search_omit.m
277	:	1706635684.833	     0.157	0	23	0	0	magma -b seq:=3663 rk2search_omit.m
278	:	1706635684.908	     0.207	0	25	0	0	magma -b seq:=1556 rk2search_omit.m
279	:	1706635684.955	     0.187	0	22	0	0	magma -b seq:=8343 rk2search_omit.m
280	:	1706635685.005	     0.181	0	23	0	0	magma -b seq:=2704 rk2search_omit.m
281	:	1706635685.143	     0.156	0	23	0	0	magma -b seq:=10210 rk2search_omit.m
283	:	1706635685.223	     0.151	0	21	0	0	magma -b seq:=5822 rk2search_omit.m
282	:	1706635685.175	     0.223	0	23	0	0	magma -b seq:=6605 rk2search_omit.m
284	:	1706635685.323	     0.210	0	25	0	0	magma -b seq:=2328 rk2search_omit.m
285	:	1706635685.399	     0.208	0	26	0	0	magma -b seq:=1359 rk2search_omit.m
286	:	1706635685.412	     0.220	0	25	0	0	magma -b seq:=1053 rk2search_omit.m
287	:	1706635685.551	     0.225	0	23	0	0	magma -b seq:=8359 rk2search_omit.m
288	:	1706635685.619	     0.171	0	23	0	0	magma -b seq:=3997 rk2search_omit.m
240	:	1706635683.138	     2.687	0	20	0	0	magma -b seq:=3306 rk2search_omit.m
289	:	1706635685.655	     0.213	0	23	0	0	magma -b seq:=6320 rk2search_omit.m
292	:	1706635685.840	     0.202	0	25	0	0	magma -b seq:=5323 rk2search_omit.m
293	:	1706635685.895	     0.194	0	24	0	0	magma -b seq:=10362 rk2search_omit.m
294	:	1706635686.067	     0.072	0	24	0	0	magma -b seq:=341 rk2search_omit.m
296	:	1706635686.157	     0.108	0	23	0	0	magma -b seq:=1419 rk2search_omit.m
297	:	1706635686.289	     0.105	0	24	0	0	magma -b seq:=10343 rk2search_omit.m
298	:	1706635686.413	     0.106	0	24	0	0	magma -b seq:=5962 rk2search_omit.m
247	:	1706635683.350	     4.001	0	22	0	0	magma -b seq:=3185 rk2search_omit.m
181	:	1706635679.882	     7.575	0	18	0	0	magma -b seq:=7283 rk2search_omit.m
300	:	1706635687.375	     0.099	0	24	0	0	magma -b seq:=9800 rk2search_omit.m
302	:	1706635687.482	     0.059	0	22	0	0	magma -b seq:=9224 rk2search_omit.m
301	:	1706635687.465	     0.097	0	25	0	0	magma -b seq:=2190 rk2search_omit.m
303	:	1706635687.550	     0.078	0	24	0	0	magma -b seq:=1542 rk2search_omit.m
304	:	1706635687.569	     0.085	0	21	0	0	magma -b seq:=10713 rk2search_omit.m
305	:	1706635687.649	     0.088	0	25	0	0	magma -b seq:=3144 rk2search_omit.m
307	:	1706635687.745	     0.080	0	24	0	0	magma -b seq:=1903 rk2search_omit.m
308	:	1706635687.836	     0.151	0	23	0	0	magma -b seq:=9492 rk2search_omit.m
309	:	1706635688.012	     0.078	0	23	0	0	magma -b seq:=9312 rk2search_omit.m
310	:	1706635688.119	     0.124	0	24	0	0	magma -b seq:=5706 rk2search_omit.m
311	:	1706635688.275	     0.131	0	24	0	0	magma -b seq:=1624 rk2search_omit.m
259	:	1706635683.762	     4.661	0	20	0	0	magma -b seq:=3549 rk2search_omit.m
312	:	1706635688.423	     0.079	0	22	0	0	magma -b seq:=6397 rk2search_omit.m
314	:	1706635688.512	     0.105	0	22	0	0	magma -b seq:=7643 rk2search_omit.m
313	:	1706635688.455	     0.192	0	22	0	0	magma -b seq:=7403 rk2search_omit.m
315	:	1706635688.626	     0.108	0	23	0	0	magma -b seq:=1135 rk2search_omit.m
262	:	1706635683.903	     4.842	0	20	0	0	magma -b seq:=3841 rk2search_omit.m
255	:	1706635683.625	     5.147	0	18	0	0	magma -b seq:=7084 rk2search_omit.m
