Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1019	:	1706634833.693	     2.653	0	20	0	0	magma -b seq:=9770 rk2search.m
984	:	1706634783.638	    60.555	0	0	-1	15	magma -b seq:=10301 rk2search.m
1021	:	1706634845.157	     1.740	0	22	0	0	magma -b seq:=3088 rk2search.m
986	:	1706634786.359	    60.815	0	0	-1	15	magma -b seq:=1388 rk2search.m
1013	:	1706634821.075	    26.191	0	20	0	0	magma -b seq:=11066 rk2search.m
1023	:	1706634847.267	     1.615	0	20	0	0	magma -b seq:=8451 rk2search.m
1024	:	1706634847.271	     2.713	0	21	0	0	magma -b seq:=5723 rk2search.m
989	:	1706634789.653	    60.390	0	0	-1	15	magma -b seq:=2275 rk2search.m
1025	:	1706634848.891	     1.631	0	21	0	0	magma -b seq:=9693 rk2search.m
1027	:	1706634850.098	     1.532	0	21	0	0	magma -b seq:=8365 rk2search.m
1026	:	1706634849.989	     2.176	0	21	0	0	magma -b seq:=1995 rk2search.m
1022	:	1706634846.902	     6.779	0	21	0	0	magma -b seq:=5699 rk2search.m
1029	:	1706634851.636	     2.250	0	22	0	0	magma -b seq:=611 rk2search.m
991	:	1706634794.190	    60.825	0	0	-1	15	magma -b seq:=2902 rk2search.m
1032	:	1706634853.893	     2.162	0	20	0	0	magma -b seq:=3386 rk2search.m
1031	:	1706634853.689	     2.609	0	20	0	0	magma -b seq:=9367 rk2search.m
1033	:	1706634855.152	     2.078	0	21	0	0	magma -b seq:=10510 rk2search.m
1034	:	1706634856.060	     1.307	0	22	0	0	magma -b seq:=5547 rk2search.m
1037	:	1706634857.372	     1.229	0	20	0	0	magma -b seq:=4986 rk2search.m
1035	:	1706634856.304	     2.516	0	20	0	0	magma -b seq:=10139 rk2search.m
1038	:	1706634858.608	     2.004	0	21	0	0	magma -b seq:=9645 rk2search.m
1039	:	1706634858.828	     2.060	0	20	0	0	magma -b seq:=2913 rk2search.m
1040	:	1706634860.625	     2.517	0	22	0	0	magma -b seq:=699 rk2search.m
1041	:	1706634860.899	     3.468	0	20	0	0	magma -b seq:=3288 rk2search.m
1042	:	1706634863.160	     2.974	0	21	0	0	magma -b seq:=8677 rk2search.m
1043	:	1706634864.444	     3.576	0	21	0	0	magma -b seq:=3224 rk2search.m
1044	:	1706634866.142	     3.601	0	20	0	0	magma -b seq:=5187 rk2search.m
1045	:	1706634868.032	     2.424	0	21	0	0	magma -b seq:=8860 rk2search.m
1000	:	1706634810.109	    60.933	0	0	-1	15	magma -b seq:=9169 rk2search.m
1047	:	1706634870.462	     2.322	0	20	0	0	magma -b seq:=10098 rk2search.m
1049	:	1706634872.792	     3.006	0	20	0	0	magma -b seq:=2681 rk2search.m
1008	:	1706634815.225	    60.797	0	0	-1	15	magma -b seq:=5872 rk2search.m
1010	:	1706634816.612	    60.542	0	0	-1	15	magma -b seq:=5715 rk2search.m
1051	:	1706634876.145	     2.591	0	20	0	0	magma -b seq:=6301 rk2search.m
1053	:	1706634878.749	     3.753	0	22	0	0	magma -b seq:=2279 rk2search.m
1054	:	1706634882.513	     1.984	0	21	0	0	magma -b seq:=1122 rk2search.m
1055	:	1706634884.512	     2.475	0	21	0	0	magma -b seq:=5138 rk2search.m
1056	:	1706634887.023	     2.303	0	22	0	0	magma -b seq:=3336 rk2search.m
1017	:	1706634830.256	    60.990	0	0	-1	15	magma -b seq:=8194 rk2search.m
1057	:	1706634889.337	     4.058	0	21	0	0	magma -b seq:=3357 rk2search.m
1046	:	1706634869.757	    24.884	0	20	0	0	magma -b seq:=8829 rk2search.m
1058	:	1706634891.612	     3.190	0	21	0	0	magma -b seq:=2486 rk2search.m
1059	:	1706634893.415	     2.417	0	21	0	0	magma -b seq:=10221 rk2search.m
1060	:	1706634894.650	     2.095	0	21	0	0	magma -b seq:=5057 rk2search.m
1020	:	1706634836.352	    60.720	0	0	-1	15	magma -b seq:=8657 rk2search.m
1063	:	1706634896.753	     2.756	0	21	0	0	magma -b seq:=2873 rk2search.m
1062	:	1706634895.840	     4.267	0	20	0	0	magma -b seq:=3548 rk2search.m
1064	:	1706634897.149	     3.400	0	21	0	0	magma -b seq:=3452 rk2search.m
1065	:	1706634899.519	     3.191	0	20	0	0	magma -b seq:=7670 rk2search.m
1066	:	1706634900.128	     3.786	0	19	0	0	magma -b seq:=4046 rk2search.m
1068	:	1706634902.725	     4.470	0	19	0	0	magma -b seq:=7890 rk2search.m
1069	:	1706634903.924	     4.369	0	21	0	0	magma -b seq:=8882 rk2search.m
1071	:	1706634908.301	     2.165	0	18	0	0	magma -b seq:=3863 rk2search.m
1070	:	1706634907.210	     3.296	0	18	0	0	magma -b seq:=9530 rk2search.m
1028	:	1706634850.526	    60.517	0	0	-1	15	magma -b seq:=3523 rk2search.m
1073	:	1706634910.517	     1.750	0	18	0	0	magma -b seq:=7299 rk2search.m
1072	:	1706634910.476	     2.517	0	20	0	0	magma -b seq:=10336 rk2search.m
1030	:	1706634852.172	    60.878	0	0	-1	15	magma -b seq:=10065 rk2search.m
1074	:	1706634911.136	     2.604	0	20	0	0	magma -b seq:=10167 rk2search.m
1077	:	1706634913.091	     3.319	0	22	0	0	magma -b seq:=1297 rk2search.m
1078	:	1706634913.753	     2.839	0	22	0	0	magma -b seq:=1586 rk2search.m
1076	:	1706634913.001	     3.973	0	20	0	0	magma -b seq:=4521 rk2search.m
1036	:	1706634857.235	    60.871	0	0	-1	15	magma -b seq:=5446 rk2search.m
1080	:	1706634916.600	     3.386	0	20	0	0	magma -b seq:=8917 rk2search.m
1081	:	1706634916.992	     3.078	0	21	0	0	magma -b seq:=4004 rk2search.m
1079	:	1706634916.428	     3.939	0	21	0	0	magma -b seq:=5604 rk2search.m
1082	:	1706634918.264	     4.335	0	22	0	0	magma -b seq:=10009 rk2search.m
1084	:	1706634920.079	     3.016	0	20	0	0	magma -b seq:=1811 rk2search.m
1083	:	1706634919.994	     3.235	0	21	0	0	magma -b seq:=980 rk2search.m
1085	:	1706634920.375	     4.877	0	22	0	0	magma -b seq:=7003 rk2search.m
1088	:	1706634923.248	     2.419	0	21	0	0	magma -b seq:=4963 rk2search.m
1087	:	1706634923.109	     3.022	0	20	0	0	magma -b seq:=3916 rk2search.m
1091	:	1706634926.163	     2.023	0	21	0	0	magma -b seq:=1593 rk2search.m
1090	:	1706634925.679	     3.276	0	21	0	0	magma -b seq:=2653 rk2search.m
1093	:	1706634928.965	     2.743	0	23	0	0	magma -b seq:=2558 rk2search.m
1092	:	1706634928.195	     3.615	0	21	0	0	magma -b seq:=8933 rk2search.m
1048	:	1706634871.140	    60.931	0	0	-1	15	magma -b seq:=7965 rk2search.m
1095	:	1706634931.833	     2.151	0	22	0	0	magma -b seq:=342 rk2search.m
1050	:	1706634875.809	    60.312	0	0	-1	15	magma -b seq:=10885 rk2search.m
1097	:	1706634933.997	     2.372	0	20	0	0	magma -b seq:=9494 rk2search.m
1052	:	1706634877.331	    60.740	0	0	-1	15	magma -b seq:=526 rk2search.m
1098	:	1706634936.369	     3.125	0	21	0	0	magma -b seq:=4518 rk2search.m
1099	:	1706634936.380	     4.419	0	20	0	0	magma -b seq:=6645 rk2search.m
1100	:	1706634938.292	     4.694	0	22	0	0	magma -b seq:=1462 rk2search.m
1101	:	1706634939.506	     3.881	0	22	0	0	magma -b seq:=29 rk2search.m
1104	:	1706634943.396	     1.999	0	18	0	0	magma -b seq:=5909 rk2search.m
1105	:	1706634945.407	     3.047	0	20	0	0	magma -b seq:=10357 rk2search.m
1106	:	1706634948.471	     2.427	0	19	0	0	magma -b seq:=6044 rk2search.m
1107	:	1706634950.910	     3.680	0	17	0	0	magma -b seq:=7869 rk2search.m
1061	:	1706634894.810	    60.368	0	0	-1	15	magma -b seq:=9632 rk2search.m
1109	:	1706634955.361	     1.849	0	18	0	0	magma -b seq:=6658 rk2search.m
1108	:	1706634954.609	     3.140	0	19	0	0	magma -b seq:=10942 rk2search.m
1110	:	1706634957.228	     2.419	0	21	0	0	magma -b seq:=189 rk2search.m
1111	:	1706634957.770	     2.309	0	20	0	0	magma -b seq:=4190 rk2search.m
1067	:	1706634900.567	    60.476	0	0	-1	15	magma -b seq:=10900 rk2search.m
1112	:	1706634959.654	     3.872	0	23	0	0	magma -b seq:=2567 rk2search.m
1113	:	1706634960.096	     4.391	0	20	0	0	magma -b seq:=2958 rk2search.m
1114	:	1706634961.176	     3.598	0	22	0	0	magma -b seq:=169 rk2search.m
1115	:	1706634963.538	     2.235	0	21	0	0	magma -b seq:=1214 rk2search.m
1117	:	1706634964.791	     3.668	0	19	0	0	magma -b seq:=8704 rk2search.m
1116	:	1706634964.506	     3.960	0	22	0	0	magma -b seq:=10037 rk2search.m
1118	:	1706634965.783	     3.059	0	22	0	0	magma -b seq:=1438 rk2search.m
1119	:	1706634968.465	     3.182	0	22	0	0	magma -b seq:=1188 rk2search.m
1075	:	1706634912.283	    60.769	0	0	-1	15	magma -b seq:=375 rk2search.m
1122	:	1706634971.663	     2.936	0	20	0	0	magma -b seq:=8523 rk2search.m
1123	:	1706634973.273	     2.586	0	19	0	0	magma -b seq:=8974 rk2search.m
1086	:	1706634922.622	    60.472	0	0	-1	15	magma -b seq:=10274 rk2search.m
1089	:	1706634925.267	    61.167	0	0	-1	15	magma -b seq:=8842 rk2search.m
1127	:	1706634987.126	     2.748	0	21	0	0	magma -b seq:=8608 rk2search.m
1128	:	1706634989.883	     1.212	0	22	0	0	magma -b seq:=8054 rk2search.m
1094	:	1706634931.716	    60.378	0	0	-1	15	magma -b seq:=1018 rk2search.m
1096	:	1706634932.125	    61.059	0	0	-1	15	magma -b seq:=9089 rk2search.m
1130	:	1706634992.273	     2.891	0	19	0	0	magma -b seq:=7861 rk2search.m
1131	:	1706634993.377	     2.691	0	21	0	0	magma -b seq:=4020 rk2search.m
1132	:	1706634995.169	     2.657	0	19	0	0	magma -b seq:=7203 rk2search.m
1133	:	1706634996.074	     2.733	0	22	0	0	magma -b seq:=2325 rk2search.m
1134	:	1706634997.836	     1.555	0	19	0	0	magma -b seq:=6376 rk2search.m
1136	:	1706634999.397	     1.519	0	22	0	0	magma -b seq:=291 rk2search.m
1102	:	1706634940.809	    60.223	0	0	-1	15	magma -b seq:=4203 rk2search.m
1135	:	1706634998.812	     2.282	0	22	0	0	magma -b seq:=3205 rk2search.m
1137	:	1706635000.922	     1.889	0	20	0	0	magma -b seq:=10284 rk2search.m
1103	:	1706634942.995	    60.061	0	0	-1	15	magma -b seq:=9223 rk2search.m
1138	:	1706635001.095	     3.075	0	20	0	0	magma -b seq:=842 rk2search.m
1140	:	1706635002.819	     2.410	0	22	0	0	magma -b seq:=3161 rk2search.m
1141	:	1706635003.137	     2.199	0	20	0	0	magma -b seq:=1288 rk2search.m
1142	:	1706635004.177	     1.664	0	19	0	0	magma -b seq:=7422 rk2search.m
1143	:	1706635005.235	     1.637	0	20	0	0	magma -b seq:=9529 rk2search.m
1144	:	1706635005.342	     3.279	0	21	0	0	magma -b seq:=2312 rk2search.m
1145	:	1706635005.848	     2.828	0	19	0	0	magma -b seq:=10980 rk2search.m
1146	:	1706635006.879	     1.863	0	18	0	0	magma -b seq:=7346 rk2search.m
1149	:	1706635008.746	     0.945	0	18	0	0	magma -b seq:=6428 rk2search.m
1150	:	1706635009.697	     2.292	0	20	0	0	magma -b seq:=5681 rk2search.m
1147	:	1706635008.627	     3.480	0	20	0	0	magma -b seq:=4501 rk2search.m
1148	:	1706635008.683	     3.541	0	20	0	0	magma -b seq:=8311 rk2search.m
1151	:	1706635011.997	     2.296	0	20	0	0	magma -b seq:=1191 rk2search.m
1153	:	1706635012.230	     2.351	0	20	0	0	magma -b seq:=9597 rk2search.m
1120	:	1706634968.474	    61.148	0	0	-1	15	magma -b seq:=8482 rk2search.m
1121	:	1706634968.870	    60.757	0	0	-1	15	magma -b seq:=7516 rk2search.m
1156	:	1706635030.654	     2.402	0	20	0	0	magma -b seq:=10903 rk2search.m
1157	:	1706635030.665	     3.033	0	19	0	0	magma -b seq:=7164 rk2search.m
1124	:	1706634974.610	    60.625	0	0	-1	15	magma -b seq:=1195 rk2search.m
1158	:	1706635033.063	     2.329	0	20	0	0	magma -b seq:=4718 rk2search.m
1159	:	1706635033.705	     1.779	0	22	0	0	magma -b seq:=2812 rk2search.m
1125	:	1706634975.869	    60.173	0	0	-1	15	magma -b seq:=8424 rk2search.m
1162	:	1706635035.489	     2.115	0	20	0	0	magma -b seq:=6712 rk2search.m
1160	:	1706635035.392	     3.641	0	19	0	0	magma -b seq:=5740 rk2search.m
1163	:	1706635036.119	     2.920	0	21	0	0	magma -b seq:=2794 rk2search.m
1166	:	1706635039.044	     1.832	0	19	0	0	magma -b seq:=7125 rk2search.m
1126	:	1706634983.859	    60.266	0	0	-1	15	magma -b seq:=1650 rk2search.m
1168	:	1706635044.504	     2.259	0	21	0	0	magma -b seq:=2927 rk2search.m
1169	:	1706635046.768	     1.942	0	21	0	0	magma -b seq:=5704 rk2search.m
1170	:	1706635048.715	     2.739	0	22	0	0	magma -b seq:=30 rk2search.m
1129	:	1706634991.099	    60.920	0	0	-1	15	magma -b seq:=8963 rk2search.m
1172	:	1706635052.169	     1.318	0	19	0	0	magma -b seq:=6450 rk2search.m
1173	:	1706635053.492	     2.575	0	22	0	0	magma -b seq:=6760 rk2search.m
1174	:	1706635056.072	     1.917	0	21	0	0	magma -b seq:=987 rk2search.m
1175	:	1706635057.994	     1.598	0	21	0	0	magma -b seq:=6193 rk2search.m
1139	:	1706635001.100	    61.196	0	0	-1	15	magma -b seq:=9416 rk2search.m
1176	:	1706635059.599	    12.536	0	22	0	0	magma -b seq:=1861 rk2search.m
